get_file:25,20:13:09:getRevision:178:8tAM3A -- not google doc
get_file:25,20:13:09:getRevision:162:8tAM3A -- getRevision looping
gdoc.py:25,20:13:09:async_init:26:8tAM3A -- async init called
get_file:25,20:13:09:getRevision:162:8tAM3A -- getRevision looping
gdoc.py:25,20:13:09:async_init:26:8tAM3A -- async init called
gdoc.py:25,20:13:09:async_init:26:8tAM3A -- async init called
get_file:25,20:13:09:getRevision:162:8tAM3A -- getRevision looping
gdoc.py:25,20:13:09:async_init:26:8tAM3A -- async init called
get_file:25,20:13:10:getRevision:162:8tAM3A -- getRevision looping
get_file:25,20:13:10:getRevision:178:8tAM3A -- not google doc
gdoc.py:25,20:13:10:get_last_revision:55:8tAM3A -- last revision id 647
gdoc.py:25,20:13:10:async_init:35:8tAM3A -- after await 647
get_file:25,20:13:10:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
connecti:25,20:13:10:_new_conn:817:8tAM3A -- Starting new HTTPS connection (1): docs.google.com
get_file:25,20:13:10:getRevision:162:8tAM3A -- getRevision looping
get_file:25,20:13:10:getRevision:178:8tAM3A -- not google doc
get_file:25,20:13:10:getRevision:162:8tAM3A -- getRevision looping
get_file:25,20:13:10:getRevision:178:8tAM3A -- not google doc
gdoc.py:25,20:13:10:get_last_revision:55:8tAM3A -- last revision id 2502
gdoc.py:25,20:13:10:async_init:35:8tAM3A -- after await 2502
connecti:25,20:13:10:_new_conn:817:8tAM3A -- Starting new HTTPS connection (1): docs.google.com
get_file:25,20:13:10:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
gdoc.py:25,20:13:10:get_last_revision:55:8tAM3A -- last revision id 3059
gdoc.py:25,20:13:10:async_init:35:8tAM3A -- after await 3059
connecti:25,20:13:10:_new_conn:817:8tAM3A -- Starting new HTTPS connection (1): docs.google.com
connecti:25,20:13:10:_make_request:393:8tAM3A -- https://docs.google.com:443 "GET /document/d/1LcO1aZmE6Jap4GF5ZpBGetjUSFeVBYg__DgWYlDwWY4/revisions/load?id=1LcO1aZmE6Jap4GF5ZpBGetjUSFeVBYg__DgWYlDwWY4&start=1&end=647 HTTP/1.1" 200 None
get_file:25,20:13:10:getRevision:162:8tAM3A -- getRevision looping
get_file:25,20:13:10:getRevision:178:8tAM3A -- not google doc
get_file:25,20:13:11:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
get_file:25,20:13:11:getRevision:198:8tAM3A -- google doc
get_file:25,20:13:11:getRevision:162:8tAM3A -- getRevision looping
get_file:25,20:13:11:getRevision:178:8tAM3A -- not google doc
connecti:25,20:13:11:_make_request:393:8tAM3A -- https://docs.google.com:443 "GET /document/d/1JEcM-IFEodRvDg7EE9AntQ4wwOBTRXcDFqRK5SR2I08/revisions/load?id=1JEcM-IFEodRvDg7EE9AntQ4wwOBTRXcDFqRK5SR2I08&start=1&end=2502 HTTP/1.1" 200 None
connecti:25,20:13:11:_make_request:393:8tAM3A -- https://docs.google.com:443 "GET /document/d/1C09g5-ATBpXNJOmH8ANwCnq7Pk6vClzI1lmFYcqaH6A/revisions/load?id=1C09g5-ATBpXNJOmH8ANwCnq7Pk6vClzI1lmFYcqaH6A&start=1&end=3059 HTTP/1.1" 200 None
get_file:25,20:13:11:getRevision:162:8tAM3A -- getRevision looping
gdoc.py:25,20:13:11:async_init:26:8tAM3A -- async init called
get_file:25,20:13:11:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
get_file:25,20:13:11:getRevision:162:8tAM3A -- getRevision looping
gdoc.py:25,20:13:11:async_init:26:8tAM3A -- async init called
gdoc.py:25,20:13:11:get_last_revision:45:8tAM3A -- code not 200
get_file:25,20:13:11:getRevision:162:8tAM3A -- getRevision looping
get_file:25,20:13:11:getRevision:178:8tAM3A -- not google doc
get_file:25,20:13:11:getRevision:162:8tAM3A -- getRevision looping
get_file:25,20:13:11:getRevision:178:8tAM3A -- not google doc
